domain,audience,triggers,primary_preset,secondary_preset,template_bias,notes
executive-strategy,"Executives; board; leadership","strategy,board,decision,leadership,战略,高管,董事会,决策",executive-minimal,data-ops-dashboard,business-consulting,"Use conclusion titles; keep visual style restrained; use data preset only for evidence slides."
product-saas,"Customers; product leaders; sales engineers","saas,product,platform,feature,软件,平台,产品,功能",saas-product-clean,classic-consulting-blue,product-proposal,"Prioritize product screenshots and roadmap; keep claims tied to user value."
technical-architecture,"CTO; architects; developers; security teams","architecture,infra,security,developer,system,架构,基础设施,安全,开发者,系统",technical-dark,ai-native-focus,technical-architecture,"Use diagrams and process nodes; avoid rasterizing labels; dark style only if delivery context supports it."
data-operations,"Operations; executives; analysts","metrics,kpi,dashboard,ops,review,指标,看板,运营,复盘",data-ops-dashboard,executive-minimal,data-report,"Keep charts labeled; use semantic status colors; split dense pages instead of shrinking text."
sales-proposal,"Customers; procurement; business sponsors","sales,proposal,customer,value,客户,售前,提案,价值",classic-consulting-blue,saas-product-clean,sales-deck,"Balance trust and product clarity; avoid over-styled decorative pages."
fundraising-launch,"Investors; partners; media","fundraising,launch,startup,vision,融资,发布,创业,愿景",bold-startup,editorial-premium,product-proposal,"Use stronger section contrast; keep financial proof legible and native."
brand-story,"Customers; partners; public audience","brand,story,vision,premium,品牌,故事,愿景,高级感",editorial-premium,warm-human,sales-deck,"Use large imagery only with authorized assets; avoid dense tables."
finance-insurance,"Executives; risk; investors; regulators","finance,banking,insurance,risk,revenue,金融,银行,保险,风险,营收",financial-precision,trust-authority,data-report,"Avoid flashy gradients; use source labels and tabular numbers."
healthcare-compliance,"Clinicians; administrators; regulators","healthcare,medical,compliance,patient,医疗,医学,合规,患者",trust-authority,scientific-clarity,business-consulting,"Prioritize accessibility, evidence, and careful claims."
research-report,"Researchers; technical reviewers; academic audience","research,science,evidence,experiment,科研,研究,证据,实验",scientific-clarity,data-ops-dashboard,data-report,"Use units, source labels, and precise chart titles."
education-community,"Learners; community; HR; service teams","education,community,training,wellness,教育,社区,培训,健康",warm-human,executive-minimal,project-review,"Keep tone warm but professional; avoid childish visuals unless explicitly requested."
ai-automation,"Product leaders; operations; CTO; AI teams","ai,agent,automation,copilot,workflow,AI,智能体,自动化,大模型,工作流",ai-native-focus,technical-dark,product-proposal,"Explain workflow and evidence; avoid generic AI decoration."
